국가명,기준연월,소비건수
태국,2018,6518.0
태국,2019,9561.0
태국,2020,4870.0
태국,2021,3393.0
태국,2022,17434.0
태국,2023,41129.0
태국,2024,43688.0
태국,2025,64445.0
태국,2026,52355.0
