국가명,KTO카테고리소분류,소비건수비율(카테고리별)
태국,대학/종합병원,3.71
태국,성형외과,10.96
태국,안과,0.42
태국,약국,52.96
태국,치과,1.8
태국,피부과,29.34
태국,한약방,0.16
태국,한의학과,0.65
