,국가명,KTO카테고리소분류,소비건수비율
2018,태국,전체,0.97
2019,태국,전체,1.09
2020,태국,전체,0.96
2021,태국,전체,0.63
2022,태국,전체,1.84
2023,태국,전체,2.48
2024,태국,전체,1.72
2025,태국,전체,1.68
2026,태국,전체,1.86
