국가명,KTO카테고리소분류,소비금액비율(카테고리별)
태국,대학/종합병원,1.89
태국,성형외과,50.92
태국,안과,0.18
태국,약국,3.74
태국,치과,1.14
태국,피부과,41.82
태국,한약방,0.01
태국,한의학과,0.29
