기준연월,시도명,소비금액_(전체)
2018,서울특별시,1.95499413E8
2019,서울특별시,2.54217046E8
2020,서울특별시,7.9845018E7
2021,서울특별시,5.6914373E7
2022,서울특별시,1.65639547E8
2023,서울특별시,4.18435181E8
2024,서울특별시,7.59755106E8
2025,서울특별시,1.300227751E9
2026,서울특별시,9.08404353E8
