국가명,KTO카테고리소분류,소비건수비율(카테고리별)
미국,대학/종합병원,17.32
미국,성형외과,4.33
미국,안과,2.49
미국,약국,50.09
미국,치과,8.69
미국,피부과,12.31
미국,한약방,0.06
미국,한의학과,4.71
