시도명,기준연도,진료과목,소비액 비율(%),소비건수 비율(%)
경상남도,2022,안과,0.84,1.79
경상남도,2022,약국,18.45,51.6
경상남도,2022,치과,17.83,8.83
경상남도,2022,피부과,8.74,4.17
경상남도,2022,한약방,0.37,0.11
경상남도,2022,한의학과,4.87,4.03
경상남도,2023,대학/종합병원,49.16,21.29
경상남도,2023,성형외과,2.59,0.65
경상남도,2023,안과,1.41,2.03
경상남도,2023,약국,15.37,57.69
경상남도,2023,치과,17.21,9.6
경상남도,2023,피부과,10.25,5.45
경상남도,2023,한약방,0.25,0.12
경상남도,2023,한의학과,3.77,3.17
경상남도,2024,대학/종합병원,39.31,17.58
경상남도,2024,성형외과,3.3,0.73
경상남도,2024,안과,1.36,2.17
경상남도,2024,약국,17.24,60.35
경상남도,2024,치과,20.44,10.6
경상남도,2024,피부과,14.57,5.46
경상남도,2024,한약방,0.38,0.1
경상남도,2024,한의학과,3.38,3.01
경상남도,2025,대학/종합병원,39.17,17.19
경상남도,2025,성형외과,2.13,0.57
경상남도,2025,안과,1.01,2.08
경상남도,2025,약국,16.56,60.4
경상남도,2025,치과,20.62,10.29
경상남도,2025,피부과,16.73,5.84
경상남도,2025,한약방,0.04,0.01
경상남도,2025,한의학과,3.74,3.62
경상남도,2026,대학/종합병원,34.15,16.25
경상남도,2026,성형외과,2.01,0.48
경상남도,2026,안과,1.7,2.35
경상남도,2026,약국,15.43,60.56
경상남도,2026,치과,20.56,10.23
경상남도,2026,피부과,23.0,6.11
경상남도,2026,한약방,0.1,0.02
경상남도,2026,한의학과,3.05,3.99
경상북도,2020,대학/종합병원,36.01,21.89
경상북도,2020,성형외과,2.28,0.54
경상북도,2020,안과,4.55,1.92
경상북도,2020,약국,32.11,61.46
경상북도,2020,치과,14.72,7.39
경상북도,2020,피부과,4.34,2.62
경상북도,2020,한약방,0.0,0.03
경상북도,2020,한의학과,5.98,4.15
경상북도,2021,대학/종합병원,59.28,38.98
경상북도,2021,성형외과,3.11,0.42
경상북도,2021,안과,0.6,1.59
경상북도,2021,약국,14.48,44.52
경상북도,2021,치과,12.45,6.44
경상북도,2021,피부과,5.84,3.84
경상북도,2021,한약방,0.07,0.04
경상북도,2021,한의학과,4.16,4.17
경상북도,2022,대학/종합병원,53.78,29.72
경상북도,2022,성형외과,0.98,0.28
경상북도,2022,안과,1.85,1.85
경상북도,2022,약국,13.41,53.51
경상북도,2022,치과,20.89,7.82
경상북도,2022,피부과,5.19,2.99
경상북도,2022,한약방,0.01,0.03
경상북도,2022,한의학과,3.88,3.79
경상북도,2023,대학/종합병원,47.79,20.29
경상북도,2023,성형외과,2.3,0.26
경상북도,2023,안과,0.99,1.77
경상북도,2023,약국,17.56,63.3
경상북도,2023,치과,17.22,6.77
경상북도,2023,피부과,8.1,3.24
경상북도,2023,한약방,0.13,0.05
경상북도,2023,한의학과,5.93,4.33
경상북도,2024,대학/종합병원,46.33,13.98
경상북도,2024,성형외과,0.99,0.28
경상북도,2024,안과,1.16,2.03
경상북도,2024,약국,17.4,68.19
경상북도,2024,치과,15.1,6.56
경상북도,2024,피부과,11.82,3.46
경상북도,2024,한약방,0.01,0.02
경상북도,2024,한의학과,7.18,5.48
경상북도,2025,대학/종합병원,43.58,12.98
경상북도,2025,성형외과,1.26,0.37
경상북도,2025,안과,0.85,1.61
경상북도,2025,약국,20.19,70.6
경상북도,2025,치과,19.75,7.08
경상북도,2025,피부과,8.8,3.21
경상북도,2025,한약방,0.01,0.01
경상북도,2025,한의학과,5.56,4.14
경상북도,2026,대학/종합병원,39.46,10.87
경상북도,2026,성형외과,1.43,0.25
경상북도,2026,안과,0.54,1.26
경상북도,2026,약국,23.9,74.65
경상북도,2026,치과,18.2,7.58
경상북도,2026,피부과,13.1,2.65
경상북도,2026,한약방,0.0,0.02
경상북도,2026,한의학과,3.38,2.73
광주광역시,2020,대학/종합병원,39.09,21.88
광주광역시,2020,성형외과,2.41,0.62
광주광역시,2020,안과,0.62,1.08
광주광역시,2020,약국,22.98,55.81
광주광역시,2020,치과,18.01,9.43
광주광역시,2020,피부과,10.57,6.05
광주광역시,2020,한의학과,6.32,5.13
광주광역시,2021,대학/종합병원,38.85,28.55
광주광역시,2021,성형외과,2.45,0.8
광주광역시,2021,안과,4.26,2.08
광주광역시,2021,약국,10.66,46.51
광주광역시,2021,치과,22.86,9.68
광주광역시,2021,피부과,15.55,6.66
광주광역시,2021,한약방,0.39,0.13
광주광역시,2021,한의학과,4.98,5.59
광주광역시,2022,대학/종합병원,29.83,17.75
광주광역시,2022,성형외과,3.26,0.66
광주광역시,2022,안과,3.76,2.03
광주광역시,2022,약국,11.96,56.51
광주광역시,2022,치과,21.98,11.54
광주광역시,2022,피부과,20.37,7.2
광주광역시,2022,한약방,0.24,0.13
광주광역시,2022,한의학과,8.6,4.17
광주광역시,2023,대학/종합병원,23.05,12.58
광주광역시,2023,성형외과,6.78,0.9
광주광역시,2023,안과,3.68,2.09
광주광역시,2023,약국,13.08,62.14
광주광역시,2023,치과,21.1,9.0
광주광역시,2023,피부과,27.11,9.42
광주광역시,2023,한약방,0.19,0.08
광주광역시,2023,한의학과,5.01,3.78
광주광역시,2024,대학/종합병원,19.92,10.44
광주광역시,2024,성형외과,5.02,1.06
광주광역시,2024,안과,4.3,2.46
광주광역시,2024,약국,14.19,63.5
광주광역시,2024,치과,20.09,9.14
광주광역시,2024,피부과,31.06,9.89
광주광역시,2024,한약방,0.13,0.02
광주광역시,2024,한의학과,5.28,3.49
광주광역시,2025,대학/종합병원,19.27,11.27
광주광역시,2025,성형외과,3.99,0.57
광주광역시,2025,안과,5.07,2.56
광주광역시,2025,약국,13.73,63.63
광주광역시,2025,치과,19.76,9.13
광주광역시,2025,피부과,33.37,8.76
광주광역시,2025,한약방,0.1,0.06
광주광역시,2025,한의학과,4.73,4.01
광주광역시,2026,대학/종합병원,18.64,9.97
광주광역시,2026,성형외과,1.63,0.6
광주광역시,2026,안과,4.73,3.04
광주광역시,2026,약국,17.31,65.75
광주광역시,2026,치과,19.22,8.26
광주광역시,2026,피부과,35.47,9.74
광주광역시,2026,한의학과,2.99,2.63
대구광역시,2020,대학/종합병원,52.82,30.47
대구광역시,2020,성형외과,2.58,0.66
대구광역시,2020,안과,2.44,1.89
대구광역시,2020,약국,16.24,47.4
대구광역시,2020,치과,14.43,8.56
대구광역시,2020,피부과,9.23,8.06
대구광역시,2020,한약방,0.06,0.12
대구광역시,2020,한의학과,2.21,2.85
대구광역시,2021,대학/종합병원,45.33,36.73
대구광역시,2021,성형외과,3.15,0.8
대구광역시,2021,안과,3.7,2.03
대구광역시,2021,약국,13.97,40.69
대구광역시,2021,치과,16.25,7.96
대구광역시,2021,피부과,14.02,7.7
대구광역시,2021,한약방,0.11,0.1
대구광역시,2021,한의학과,3.47,3.99
대구광역시,2022,대학/종합병원,42.69,27.53
대구광역시,2022,성형외과,4.52,1.11
대구광역시,2022,안과,2.75,2.32
대구광역시,2022,약국,13.48,47.8
대구광역시,2022,치과,15.1,7.68
대구광역시,2022,피부과,17.58,9.19
