방문자 거주지,방문지,방문자 수 비율(%)
미국,서울특별시,31.8
미국,경기도,23.3
미국,인천광역시,7.6
미국,부산광역시,6.4
미국,대구광역시,5.0
미국,경상북도,4.4
미국,충청북도,4.1
미국,울산광역시,3.8
미국,경상남도,2.8
미국,대전광역시,2.3
미국,충청남도,2.2
미국,전라남도,2.0
미국,광주광역시,1.7
미국,전북특별자치도,1.4
미국,강원특별자치도,0.6
미국,제주특별자치도,0.4
미국,세종특별자치시,0.2
