국가명,KTO카테고리소분류,소비건수비율(카테고리별)
일본,대학/종합병원,0.76
일본,성형외과,12.52
일본,안과,0.24
일본,약국,37.93
일본,치과,1.06
일본,피부과,46.06
일본,한약방,0.07
일본,한의학과,1.38
