방문자 거주지,방문지,방문자 수 비율(%)
홍콩,서울특별시,18.3
홍콩,경기도,15.2
홍콩,인천광역시,12.1
홍콩,전라남도,9.2
홍콩,경상남도,9.0
홍콩,부산광역시,7.1
홍콩,충청남도,5.3
홍콩,경상북도,4.4
홍콩,전북특별자치도,3.6
홍콩,제주특별자치도,3.4
홍콩,울산광역시,2.3
홍콩,충청북도,2.1
홍콩,광주광역시,2.0
홍콩,대구광역시,2.0
홍콩,대전광역시,1.9
홍콩,강원특별자치도,1.8
홍콩,세종특별자치시,0.3
