,국가명,KTO카테고리소분류,소비금액비율
201901,일본,전체,9.04
201902,일본,전체,10.64
201903,일본,전체,10.5
201904,일본,전체,9.37
201905,일본,전체,9.79
201906,일본,전체,10.56
201907,일본,전체,10.21
201908,일본,전체,12.74
201909,일본,전체,11.17
201910,일본,전체,10.5
201911,일본,전체,10.68
201912,일본,전체,12.49
