기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
201901,대만,약국,59.71
201901,대만,성형외과,8.61
201901,대만,대학/종합병원,16.85
201901,대만,피부과,7.88
201901,대만,치과,3.66
201901,대만,한의학과,1.65
201901,대만,한약방,1.1
201901,대만,안과,0.55
201902,대만,약국,59.39
201902,대만,성형외과,10.26
201902,대만,대학/종합병원,15.72
201902,대만,피부과,7.42
201902,대만,치과,4.37
201902,대만,한의학과,1.97
201902,대만,한약방,0.22
201902,대만,안과,0.66
201903,대만,약국,62.39
201903,대만,성형외과,12.48
201903,대만,대학/종합병원,9.14
201903,대만,피부과,8.08
201903,대만,치과,3.16
201903,대만,한의학과,1.93
201903,대만,한약방,1.76
201903,대만,안과,1.05
201904,대만,약국,58.22
201904,대만,성형외과,11.36
201904,대만,대학/종합병원,14.1
201904,대만,피부과,6.4
201904,대만,치과,4.83
201904,대만,한의학과,3.26
201904,대만,한약방,1.04
201904,대만,안과,0.78
201905,대만,약국,58.58
201905,대만,성형외과,10.84
201905,대만,대학/종합병원,11.75
201905,대만,피부과,9.19
201905,대만,치과,3.92
201905,대만,한의학과,2.71
201905,대만,한약방,0.9
201905,대만,안과,2.11
201906,대만,약국,63.78
201906,대만,성형외과,11.91
201906,대만,대학/종합병원,10.28
201906,대만,피부과,7.67
201906,대만,치과,3.26
201906,대만,한의학과,1.96
201906,대만,한약방,0.65
201906,대만,안과,0.49
201907,대만,약국,61.18
201907,대만,성형외과,6.56
201907,대만,대학/종합병원,15.13
201907,대만,피부과,8.57
201907,대만,치과,3.88
201907,대만,한의학과,3.35
201907,대만,한약방,0.13
201907,대만,안과,1.2
201908,대만,약국,59.23
201908,대만,성형외과,11.69
201908,대만,대학/종합병원,8.46
201908,대만,피부과,8.62
201908,대만,치과,5.69
201908,대만,한의학과,4.92
201908,대만,한약방,0.46
201908,대만,안과,0.92
201909,대만,약국,60.09
201909,대만,성형외과,12.17
201909,대만,대학/종합병원,12.33
201909,대만,피부과,6.78
201909,대만,치과,4.78
201909,대만,한의학과,2.93
201909,대만,한약방,0.46
201909,대만,안과,0.46
201910,대만,약국,66.0
201910,대만,성형외과,10.25
201910,대만,대학/종합병원,7.75
201910,대만,피부과,7.75
201910,대만,치과,4.88
201910,대만,한의학과,1.75
201910,대만,한약방,1.62
201911,대만,약국,67.1
201911,대만,성형외과,10.97
201911,대만,대학/종합병원,6.91
201911,대만,피부과,8.22
201911,대만,치과,4.41
201911,대만,한의학과,1.07
201911,대만,한약방,0.95
201911,대만,안과,0.36
201912,대만,약국,68.83
201912,대만,성형외과,10.82
201912,대만,대학/종합병원,8.55
201912,대만,피부과,6.82
201912,대만,치과,2.16
201912,대만,한의학과,1.62
201912,대만,한약방,0.65
201912,대만,안과,0.54
