국가명,KTO카테고리소분류,소비금액비율(카테고리별)
대만,대학/종합병원,20.23
대만,성형외과,56.83
대만,안과,0.22
대만,약국,6.78
대만,치과,3.99
대만,피부과,10.16
대만,한약방,0.14
대만,한의학과,1.65
