국가명,KTO카테고리소분류,소비금액비율(카테고리별)
미국,대학/종합병원,30.57
미국,성형외과,24.43
미국,안과,2.26
미국,약국,6.3
미국,치과,14.46
미국,피부과,17.36
미국,한약방,0.04
미국,한의학과,4.58
