방문자 거주지,방문지,관광소비비율(%)
미국,서울특별시,64.3
미국,경기도,15.1
미국,인천광역시,6.3
미국,부산광역시,5.6
미국,제주특별자치도,1.5
미국,대구광역시,1.3
미국,경상북도,1.0
미국,경상남도,0.8
미국,충청남도,0.8
미국,전북특별자치도,0.8
미국,강원특별자치도,0.7
미국,대전광역시,0.6
미국,광주광역시,0.3
미국,전라남도,0.3
미국,충청북도,0.3
미국,울산광역시,0.2
미국,세종특별자치시,0.1
