국가명,KTO카테고리소분류,소비건수비율(카테고리별)
태국,대학/종합병원,1.41
태국,성형외과,4.42
태국,안과,0.28
태국,약국,62.17
태국,치과,0.98
태국,피부과,30.26
태국,한약방,0.06
태국,한의학과,0.41
