국가명,KTO카테고리소분류,소비금액비율(카테고리별)
태국,대학/종합병원,1.24
태국,성형외과,27.43
태국,안과,0.2
태국,약국,7.51
태국,치과,0.78
태국,피부과,62.67
태국,한약방,0.0
태국,한의학과,0.17
