,국가명,KTO카테고리소분류,소비금액비율
2018,대만,전체,0.47
2019,대만,전체,0.71
2020,대만,전체,0.58
2021,대만,전체,0.41
2022,대만,전체,0.64
2023,대만,전체,2.15
2024,대만,전체,8.5
2025,대만,전체,13.45
2026,대만,전체,11.57
