국가명,KTO카테고리소분류,소비건수비율(카테고리별)
대만,대학/종합병원,1.06
대만,성형외과,5.21
대만,안과,0.68
대만,약국,67.22
대만,치과,0.67
대만,피부과,24.71
대만,한약방,0.12
대만,한의학과,0.33
