국가명,KTO카테고리소분류,소비금액비율(카테고리별)
대만,대학/종합병원,0.89
대만,성형외과,16.11
대만,안과,2.3
대만,약국,10.27
대만,치과,0.81
대만,피부과,69.35
대만,한약방,0.01
대만,한의학과,0.25
