기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202001,글로벌,약국,61.95
202001,글로벌,대학/종합병원,15.06
202001,글로벌,치과,4.61
202001,글로벌,피부과,8.25
202001,글로벌,한의학과,3.17
202001,글로벌,성형외과,5.91
202001,글로벌,안과,0.89
202001,글로벌,한약방,0.16
202002,글로벌,약국,65.34
202002,글로벌,대학/종합병원,13.01
202002,글로벌,치과,4.28
202002,글로벌,피부과,7.43
202002,글로벌,한의학과,3.38
202002,글로벌,성형외과,5.47
202002,글로벌,안과,0.86
202002,글로벌,한약방,0.22
202003,글로벌,약국,55.51
202003,글로벌,대학/종합병원,21.15
202003,글로벌,치과,7.5
202003,글로벌,피부과,6.25
202003,글로벌,한의학과,4.95
202003,글로벌,성형외과,3.26
202003,글로벌,안과,1.22
202003,글로벌,한약방,0.17
202004,글로벌,약국,54.87
202004,글로벌,대학/종합병원,19.97
202004,글로벌,치과,8.7
202004,글로벌,피부과,6.66
202004,글로벌,한의학과,5.78
202004,글로벌,성형외과,2.37
202004,글로벌,안과,1.56
202004,글로벌,한약방,0.09
202005,글로벌,약국,53.91
202005,글로벌,대학/종합병원,19.61
202005,글로벌,치과,8.76
202005,글로벌,피부과,7.73
202005,글로벌,한의학과,5.85
202005,글로벌,성형외과,2.35
202005,글로벌,안과,1.68
202005,글로벌,한약방,0.12
202006,글로벌,약국,49.5
202006,글로벌,대학/종합병원,21.62
202006,글로벌,치과,9.56
202006,글로벌,피부과,8.44
202006,글로벌,한의학과,6.5
202006,글로벌,성형외과,2.34
202006,글로벌,안과,1.93
202006,글로벌,한약방,0.1
202007,글로벌,약국,46.86
202007,글로벌,대학/종합병원,22.31
202007,글로벌,치과,10.55
202007,글로벌,피부과,9.05
202007,글로벌,한의학과,6.38
202007,글로벌,성형외과,2.7
202007,글로벌,안과,2.03
202007,글로벌,한약방,0.12
202008,글로벌,약국,46.23
202008,글로벌,대학/종합병원,23.91
202008,글로벌,치과,10.34
202008,글로벌,피부과,8.62
202008,글로벌,한의학과,6.18
202008,글로벌,성형외과,2.65
202008,글로벌,안과,2.01
202008,글로벌,한약방,0.05
202009,글로벌,약국,44.19
202009,글로벌,대학/종합병원,26.66
202009,글로벌,치과,9.28
202009,글로벌,피부과,8.45
202009,글로벌,한의학과,6.72
202009,글로벌,성형외과,2.67
202009,글로벌,안과,1.93
202009,글로벌,한약방,0.1
202010,글로벌,약국,43.53
202010,글로벌,대학/종합병원,26.67
202010,글로벌,치과,9.61
202010,글로벌,피부과,8.9
202010,글로벌,한의학과,6.63
202010,글로벌,성형외과,2.66
202010,글로벌,안과,1.89
202010,글로벌,한약방,0.11
202011,글로벌,약국,42.51
202011,글로벌,대학/종합병원,28.52
202011,글로벌,치과,9.52
202011,글로벌,피부과,8.25
202011,글로벌,한의학과,6.13
202011,글로벌,성형외과,2.95
202011,글로벌,안과,2.05
202011,글로벌,한약방,0.07
202012,글로벌,약국,41.48
202012,글로벌,대학/종합병원,29.05
202012,글로벌,치과,10.36
202012,글로벌,피부과,8.38
202012,글로벌,한의학과,6.0
202012,글로벌,성형외과,2.88
202012,글로벌,안과,1.77
202012,글로벌,한약방,0.07
