기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202001,글로벌,대학/종합병원,21.06
202001,글로벌,치과,5.67
202001,글로벌,피부과,16.6
202001,글로벌,성형외과,34.16
202001,글로벌,약국,18.66
202001,글로벌,한의학과,2.96
202001,글로벌,안과,0.81
202001,글로벌,한약방,0.07
202002,글로벌,대학/종합병원,20.37
202002,글로벌,치과,7.19
202002,글로벌,피부과,11.96
202002,글로벌,성형외과,28.37
202002,글로벌,약국,27.66
202002,글로벌,한의학과,3.29
202002,글로벌,안과,1.04
202002,글로벌,한약방,0.13
202003,글로벌,대학/종합병원,37.16
202003,글로벌,치과,11.75
202003,글로벌,피부과,13.35
202003,글로벌,성형외과,22.38
202003,글로벌,약국,8.69
202003,글로벌,한의학과,5.07
202003,글로벌,안과,1.57
202003,글로벌,한약방,0.04
202004,글로벌,대학/종합병원,33.85
202004,글로벌,치과,18.94
202004,글로벌,피부과,16.06
202004,글로벌,성형외과,13.99
202004,글로벌,약국,8.78
202004,글로벌,한의학과,6.95
202004,글로벌,안과,1.39
202004,글로벌,한약방,0.05
202005,글로벌,대학/종합병원,36.65
202005,글로벌,치과,18.21
202005,글로벌,피부과,13.79
202005,글로벌,성형외과,13.56
202005,글로벌,약국,8.43
202005,글로벌,한의학과,7.49
202005,글로벌,안과,1.84
202005,글로벌,한약방,0.04
202006,글로벌,대학/종합병원,34.35
202006,글로벌,치과,17.72
202006,글로벌,피부과,15.13
202006,글로벌,성형외과,13.03
202006,글로벌,약국,8.46
202006,글로벌,한의학과,8.13
202006,글로벌,안과,3.16
202006,글로벌,한약방,0.02
202007,글로벌,대학/종합병원,32.86
202007,글로벌,치과,18.12
202007,글로벌,피부과,16.2
202007,글로벌,성형외과,14.19
202007,글로벌,약국,9.06
202007,글로벌,한의학과,6.86
202007,글로벌,안과,2.66
202007,글로벌,한약방,0.06
202008,글로벌,대학/종합병원,35.4
202008,글로벌,치과,19.58
202008,글로벌,피부과,15.51
202008,글로벌,성형외과,11.24
202008,글로벌,약국,8.89
202008,글로벌,한의학과,6.93
202008,글로벌,안과,2.4
202008,글로벌,한약방,0.05
202009,글로벌,대학/종합병원,32.41
202009,글로벌,치과,17.04
202009,글로벌,피부과,16.02
202009,글로벌,성형외과,15.9
202009,글로벌,약국,8.65
202009,글로벌,한의학과,7.81
202009,글로벌,안과,2.13
202009,글로벌,한약방,0.04
202010,글로벌,대학/종합병원,38.65
202010,글로벌,치과,16.83
202010,글로벌,피부과,15.14
202010,글로벌,성형외과,12.97
202010,글로벌,약국,7.52
202010,글로벌,한의학과,6.71
202010,글로벌,안과,2.1
202010,글로벌,한약방,0.07
202011,글로벌,대학/종합병원,35.15
202011,글로벌,치과,17.25
202011,글로벌,피부과,14.07
202011,글로벌,성형외과,17.26
202011,글로벌,약국,7.24
202011,글로벌,한의학과,5.75
202011,글로벌,안과,3.24
202011,글로벌,한약방,0.04
202012,글로벌,대학/종합병원,38.17
202012,글로벌,치과,17.61
202012,글로벌,피부과,15.51
202012,글로벌,성형외과,14.38
202012,글로벌,약국,7.19
202012,글로벌,한의학과,4.97
202012,글로벌,안과,2.16
202012,글로벌,한약방,0.02
