방문자 거주지,방문지,방문자 수 비율(%)
중국,서울특별시,27.3
중국,경기도,21.6
중국,인천광역시,12.9
중국,제주특별자치도,11.1
중국,전라남도,4.4
중국,부산광역시,3.8
중국,충청남도,3.5
중국,경상남도,3.1
중국,경상북도,2.8
중국,충청북도,2.1
중국,전북특별자치도,1.6
중국,울산광역시,1.3
중국,강원특별자치도,1.3
중국,대구광역시,1.1
중국,대전광역시,1.0
중국,광주광역시,0.7
중국,세종특별자치시,0.4
