카테고리 대분류,카테고리 중분류,카테고리 대분류 소비 비율,카테고리 중분류 소비 비율
쇼핑업,면세점,45.2,7.7
쇼핑업,대형쇼핑몰,45.2,46.0
쇼핑업,레저용품쇼핑,45.2,4.4
쇼핑업,기타관광쇼핑,45.2,41.8
숙박업,호텔,16.1,82.3
숙박업,콘도,16.1,0.2
숙박업,캠핑장/펜션,16.1,0.2
숙박업,기타숙박,16.1,17.3
식음료업,일반외식업,14.0,80.6
식음료업,제과음료업,14.0,19.4
여가서비스업,관광유원시설,0.8,0.4
여가서비스업,골프장,0.8,5.1
여가서비스업,기타레저,0.8,47.3
여가서비스업,문화서비스,0.8,47.2
여가서비스업,스키장,0.8,0.0
여행업,여행업,0.1,100.0
운송업,육상운송,3.1,89.5
운송업,수상운송,3.1,0.2
운송업,항공운송,3.1,9.3
운송업,렌터카,3.1,1.0
의료웰니스업,의료관광,20.6,62.1
의료웰니스업,뷰티,20.6,37.9
