국가명,KTO카테고리소분류,소비건수비율(카테고리별)
홍콩,대학/종합병원,6.92
홍콩,성형외과,5.46
홍콩,안과,1.19
홍콩,약국,53.77
홍콩,치과,5.01
홍콩,피부과,25.16
홍콩,한약방,0.06
홍콩,한의학과,2.43
