국가명,KTO카테고리소분류,소비금액비율(카테고리별)
홍콩,대학/종합병원,4.74
홍콩,성형외과,18.51
홍콩,안과,0.74
홍콩,약국,6.41
홍콩,치과,3.85
홍콩,피부과,64.22
홍콩,한약방,0.01
홍콩,한의학과,1.51
