기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
201901,중국,성형외과,48.13
201901,중국,피부과,22.83
201901,중국,대학/종합병원,13.07
201901,중국,약국,5.89
201901,중국,치과,6.88
201901,중국,한의학과,1.55
201901,중국,안과,1.62
201901,중국,한약방,0.04
201902,중국,성형외과,44.05
201902,중국,피부과,22.43
201902,중국,대학/종합병원,16.99
201902,중국,약국,6.12
201902,중국,치과,5.22
201902,중국,한의학과,2.99
201902,중국,안과,2.19
201902,중국,한약방,0.01
201903,중국,성형외과,43.84
201903,중국,피부과,27.27
201903,중국,대학/종합병원,14.45
201903,중국,약국,5.64
201903,중국,치과,5.96
201903,중국,한의학과,2.15
201903,중국,안과,0.68
201903,중국,한약방,0.0
201904,중국,성형외과,47.3
201904,중국,피부과,22.99
201904,중국,대학/종합병원,13.44
201904,중국,약국,6.68
201904,중국,치과,6.76
201904,중국,한의학과,1.67
201904,중국,안과,1.16
201904,중국,한약방,0.0
201905,중국,성형외과,39.88
201905,중국,피부과,28.0
201905,중국,대학/종합병원,14.42
201905,중국,약국,8.14
201905,중국,치과,6.32
201905,중국,한의학과,1.18
201905,중국,안과,2.04
201905,중국,한약방,0.02
201906,중국,성형외과,38.19
201906,중국,피부과,24.45
201906,중국,대학/종합병원,18.51
201906,중국,약국,8.61
201906,중국,치과,7.19
201906,중국,한의학과,1.67
201906,중국,안과,1.32
201906,중국,한약방,0.04
201907,중국,성형외과,36.0
201907,중국,피부과,29.91
201907,중국,대학/종합병원,17.78
201907,중국,약국,7.57
201907,중국,치과,6.79
201907,중국,한의학과,1.42
201907,중국,안과,0.52
201907,중국,한약방,0.01
201908,중국,성형외과,33.06
201908,중국,피부과,29.86
201908,중국,대학/종합병원,17.85
201908,중국,약국,8.51
201908,중국,치과,6.4
201908,중국,한의학과,2.19
201908,중국,안과,2.11
201908,중국,한약방,0.02
201909,중국,성형외과,46.24
201909,중국,피부과,23.75
201909,중국,대학/종합병원,12.71
201909,중국,약국,7.38
201909,중국,치과,6.77
201909,중국,한의학과,1.97
201909,중국,안과,1.16
201909,중국,한약방,0.01
201910,중국,성형외과,40.86
201910,중국,피부과,31.21
201910,중국,대학/종합병원,11.88
201910,중국,약국,7.15
201910,중국,치과,6.35
201910,중국,한의학과,0.91
201910,중국,안과,1.63
201910,중국,한약방,0.01
201911,중국,성형외과,43.62
201911,중국,피부과,27.98
201911,중국,대학/종합병원,13.38
201911,중국,약국,6.45
201911,중국,치과,5.63
201911,중국,한의학과,1.55
201911,중국,안과,1.35
201911,중국,한약방,0.04
201912,중국,성형외과,40.82
201912,중국,피부과,31.38
201912,중국,대학/종합병원,10.84
201912,중국,약국,7.44
201912,중국,치과,7.04
201912,중국,한의학과,1.26
201912,중국,안과,1.21
201912,중국,한약방,0.02
