국가명,KTO카테고리소분류,소비건수비율(카테고리별)
중국,대학/종합병원,12.93
중국,성형외과,9.46
중국,안과,1.1
중국,약국,58.12
중국,치과,4.88
중국,피부과,11.72
중국,한약방,0.19
중국,한의학과,1.59
