국가명,KTO카테고리소분류,소비금액비율(카테고리별)
홍콩,대학/종합병원,14.89
홍콩,성형외과,38.03
홍콩,안과,1.3
홍콩,약국,4.65
홍콩,치과,10.06
홍콩,피부과,27.4
홍콩,한약방,0.01
홍콩,한의학과,3.65
