,국가명,KTO카테고리소분류,소비건수비율
201901,홍콩,전체,1.81
201902,홍콩,전체,2.38
201903,홍콩,전체,1.8
201904,홍콩,전체,2.08
201905,홍콩,전체,1.73
201906,홍콩,전체,1.76
201907,홍콩,전체,2.18
201908,홍콩,전체,2.09
201909,홍콩,전체,1.69
201910,홍콩,전체,1.81
201911,홍콩,전체,1.75
201912,홍콩,전체,2.45
