국가명,KTO카테고리소분류,소비금액비율(카테고리별)
대만,대학/종합병원,11.92
대만,성형외과,42.04
대만,안과,1.9
대만,약국,6.23
대만,치과,8.29
대만,피부과,27.19
대만,한약방,0.03
대만,한의학과,2.4
