기준연월,시도명,소비금액_(전체)
2018,경상북도,497045.0
2019,경상북도,608911.0
2020,경상북도,404884.0
2021,경상북도,483806.0
2022,경상북도,919527.0
2023,경상북도,1024198.0
2024,경상북도,1398115.0
2025,경상북도,1835534.0
2026,경상북도,1127769.0
