기준연월,시도명,소비건수_(전체)
2018,경상북도,4562.0
2019,경상북도,5359.0
2020,경상북도,3971.0
2021,경상북도,5337.0
2022,경상북도,8911.0
2023,경상북도,12183.0
2024,경상북도,15115.0
2025,경상북도,20578.0
2026,경상북도,14307.0
