국가명,KTO카테고리소분류,소비건수비율(카테고리별)
미국,대학/종합병원,21.6
미국,성형외과,4.0
미국,안과,2.64
미국,약국,47.52
미국,치과,9.36
미국,피부과,9.88
미국,한약방,0.08
미국,한의학과,4.93
