기준년월,구분,방문지,방문자 수,방문자 수 비율
202401,전체 외국인,서울특별시,2698724,
202402,전체 외국인,서울특별시,2842766,
202403,전체 외국인,서울특별시,3668370,
202404,전체 외국인,서울특별시,3887721,
202405,전체 외국인,서울특별시,3444704,
202406,전체 외국인,서울특별시,3337312,
202407,전체 외국인,서울특별시,3392463,
202408,전체 외국인,서울특별시,3579293,
202409,전체 외국인,서울특별시,3505875,
202410,전체 외국인,서울특별시,4412558,
202411,전체 외국인,서울특별시,3477376,
202412,전체 외국인,서울특별시,3294533,
202401,홍콩인,서울특별시,,4.005
202402,홍콩인,서울특별시,,4.424
202403,홍콩인,서울특별시,,4.546
202404,홍콩인,서울특별시,,4.171
202405,홍콩인,서울특별시,,5.589
202406,홍콩인,서울특별시,,8.623
202407,홍콩인,서울특별시,,8.405
202408,홍콩인,서울특별시,,9.180
202409,홍콩인,서울특별시,,6.999
202410,홍콩인,서울특별시,,6.617
202411,홍콩인,서울특별시,,5.568
202412,홍콩인,서울특별시,,7.407
