기준연월,시도명,소비금액_(전체)
2018,제주특별자치도,2955748.0
2019,제주특별자치도,5117376.0
2020,제주특별자치도,3140634.0
2021,제주특별자치도,1143167.0
2022,제주특별자치도,1953989.0
2023,제주특별자치도,4396261.0
2024,제주특별자치도,9379173.0
2025,제주특별자치도,2.1677333E7
2026,제주특별자치도,2.0009574E7
