,국가명,KTO카테고리소분류,소비금액비율
202001,홍콩,전체,2.98
202002,홍콩,전체,3.09
202003,홍콩,전체,2.59
202004,홍콩,전체,1.53
202005,홍콩,전체,1.96
202006,홍콩,전체,2.42
202007,홍콩,전체,2.89
202008,홍콩,전체,2.37
202009,홍콩,전체,2.23
202010,홍콩,전체,2.04
202011,홍콩,전체,1.55
202012,홍콩,전체,1.42
