국가명,KTO카테고리소분류,소비건수비율(카테고리별)
홍콩,대학/종합병원,12.24
홍콩,성형외과,2.94
홍콩,안과,1.34
홍콩,약국,62.32
홍콩,치과,7.23
홍콩,피부과,8.71
홍콩,한약방,0.27
홍콩,한의학과,4.95
