기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
202001,홍콩,한약방,0.14
202001,홍콩,피부과,19.11
202001,홍콩,대학/종합병원,8.57
202001,홍콩,치과,4.48
202001,홍콩,성형외과,27.71
202001,홍콩,약국,37.73
202001,홍콩,안과,0.52
202001,홍콩,한의학과,1.73
202002,홍콩,한약방,0.76
202002,홍콩,피부과,10.56
202002,홍콩,대학/종합병원,7.8
202002,홍콩,치과,8.66
202002,홍콩,성형외과,31.56
202002,홍콩,약국,38.89
202002,홍콩,안과,0.64
202002,홍콩,한의학과,1.13
202003,홍콩,한약방,0.5
202003,홍콩,피부과,21.73
202003,홍콩,대학/종합병원,15.82
202003,홍콩,치과,18.84
202003,홍콩,성형외과,32.73
202003,홍콩,약국,5.04
202003,홍콩,안과,3.39
202003,홍콩,한의학과,1.95
202004,홍콩,피부과,29.82
202004,홍콩,대학/종합병원,23.03
202004,홍콩,치과,22.63
202004,홍콩,성형외과,7.79
202004,홍콩,약국,7.91
202004,홍콩,안과,1.94
202004,홍콩,한의학과,6.88
202005,홍콩,피부과,31.64
202005,홍콩,대학/종합병원,22.51
202005,홍콩,치과,13.87
202005,홍콩,성형외과,13.98
202005,홍콩,약국,7.97
202005,홍콩,안과,0.13
202005,홍콩,한의학과,9.89
202006,홍콩,피부과,18.82
202006,홍콩,대학/종합병원,28.63
202006,홍콩,치과,11.29
202006,홍콩,성형외과,19.22
202006,홍콩,약국,9.51
202006,홍콩,안과,0.51
202006,홍콩,한의학과,12.03
202007,홍콩,피부과,17.03
202007,홍콩,대학/종합병원,44.97
202007,홍콩,치과,19.75
202007,홍콩,성형외과,4.3
202007,홍콩,약국,7.34
202007,홍콩,안과,1.63
202007,홍콩,한의학과,4.99
202008,홍콩,한약방,0.3
202008,홍콩,피부과,27.57
202008,홍콩,대학/종합병원,37.96
202008,홍콩,치과,17.15
202008,홍콩,성형외과,3.91
202008,홍콩,약국,9.84
202008,홍콩,안과,1.57
202008,홍콩,한의학과,1.71
202009,홍콩,한약방,0.04
202009,홍콩,피부과,27.43
202009,홍콩,대학/종합병원,24.2
202009,홍콩,치과,23.52
202009,홍콩,성형외과,6.56
202009,홍콩,약국,7.61
202009,홍콩,안과,1.66
202009,홍콩,한의학과,8.98
202010,홍콩,피부과,29.41
202010,홍콩,대학/종합병원,17.11
202010,홍콩,치과,17.59
202010,홍콩,성형외과,21.27
202010,홍콩,약국,9.21
202010,홍콩,안과,0.08
202010,홍콩,한의학과,5.34
202011,홍콩,한약방,0.01
202011,홍콩,피부과,30.7
202011,홍콩,대학/종합병원,14.12
202011,홍콩,치과,22.09
202011,홍콩,성형외과,14.14
202011,홍콩,약국,8.64
202011,홍콩,안과,2.1
202011,홍콩,한의학과,8.2
202012,홍콩,피부과,34.47
202012,홍콩,대학/종합병원,19.5
202012,홍콩,치과,17.33
202012,홍콩,성형외과,11.77
202012,홍콩,약국,8.74
202012,홍콩,안과,6.52
202012,홍콩,한의학과,1.67
