국가명,KTO카테고리소분류,소비건수비율(카테고리별)
글로벌,대학/종합병원,6.34
글로벌,성형외과,5.67
글로벌,안과,1.26
글로벌,약국,58.62
글로벌,치과,3.72
글로벌,피부과,22.19
글로벌,한약방,0.08
글로벌,한의학과,2.11
