국가명,KTO카테고리소분류,소비금액비율(카테고리별)
글로벌,대학/종합병원,7.08
글로벌,성형외과,23.88
글로벌,안과,1.85
글로벌,약국,7.3
글로벌,치과,4.0
글로벌,피부과,54.51
글로벌,한약방,0.01
글로벌,한의학과,1.37
