국가명,KTO카테고리소분류,소비건수비율(카테고리별)
미국,대학/종합병원,24.22
미국,성형외과,2.5
미국,안과,2.07
미국,약국,46.61
미국,치과,10.43
미국,피부과,8.58
미국,한약방,0.06
미국,한의학과,5.54
