국가명,KTO카테고리소분류,소비건수비율(카테고리별)
대만,대학/종합병원,37.19
대만,성형외과,2.48
대만,안과,1.03
대만,약국,40.05
대만,치과,6.76
대만,피부과,8.88
대만,한약방,0.06
대만,한의학과,3.54
