,국가명,KTO카테고리소분류,소비건수비율
202301,미국,전체,42.26
202302,미국,전체,43.1
202303,미국,전체,41.66
202304,미국,전체,40.86
202305,미국,전체,41.52
202306,미국,전체,43.98
202307,미국,전체,42.51
202308,미국,전체,37.77
202309,미국,전체,35.49
202310,미국,전체,37.24
202311,미국,전체,35.71
202312,미국,전체,34.72
