방문자 거주지,방문지,방문자 수 비율(%)
타이완,서울특별시,38.5
타이완,인천광역시,18.7
타이완,부산광역시,9.8
타이완,경기도,9.1
타이완,제주특별자치도,8.0
타이완,강원특별자치도,4.8
타이완,경상남도,2.3
타이완,대구광역시,2.2
타이완,전라남도,1.7
타이완,경상북도,1.3
타이완,충청남도,1.0
타이완,울산광역시,0.9
타이완,전북특별자치도,0.7
타이완,충청북도,0.4
타이완,대전광역시,0.3
타이완,광주광역시,0.1
타이완,세종특별자치시,0.0
