방문자 거주지,방문지,관광소비비율(%)
대만,서울특별시,67.0
대만,부산광역시,13.2
대만,경기도,7.7
대만,인천광역시,4.5
대만,대구광역시,3.2
대만,제주특별자치도,2.6
대만,강원특별자치도,0.5
대만,경상남도,0.3
대만,대전광역시,0.2
대만,충청북도,0.2
대만,충청남도,0.2
대만,경상북도,0.1
대만,울산광역시,0.1
대만,전북특별자치도,0.1
대만,전라남도,0.0
대만,광주광역시,0.0
대만,세종특별자치시,0.0
