방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
대만,서울특별시,쇼핑업,기타관광쇼핑,60.1,70.0
대만,서울특별시,쇼핑업,레저용품쇼핑,60.1,2.6
대만,서울특별시,쇼핑업,대형쇼핑몰,60.1,19.6
대만,서울특별시,쇼핑업,면세점,60.1,7.7
대만,서울특별시,숙박업,기타숙박,11.4,16.2
대만,서울특별시,숙박업,캠핑장/펜션,11.4,0.6
대만,서울특별시,숙박업,호텔,11.4,83.2
대만,서울특별시,숙박업,콘도,11.4,0.0
대만,서울특별시,식음료업,제과음료업,5.0,25.7
대만,서울특별시,식음료업,일반외식업,5.0,74.3
대만,서울특별시,여가서비스업,문화서비스,0.5,61.7
대만,서울특별시,여가서비스업,기타레저,0.5,37.1
대만,서울특별시,여가서비스업,관광유원시설,0.5,0.1
대만,서울특별시,여가서비스업,골프장,0.5,1.0
대만,서울특별시,여행업,여행업,0.4,100.0
대만,서울특별시,운송업,항공운송,4.5,2.9
대만,서울특별시,운송업,육상운송,4.5,97.0
대만,서울특별시,운송업,렌터카,4.5,0.0
대만,서울특별시,운송업,수상운송,4.5,0.0
대만,서울특별시,의료웰니스업,뷰티,18.1,90.2
대만,서울특별시,의료웰니스업,의료관광,18.1,9.8
