기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
201801,중국,약국,54.35
201801,중국,대학/종합병원,16.65
201801,중국,피부과,10.13
201801,중국,성형외과,11.43
201801,중국,치과,4.56
201801,중국,한의학과,1.45
201801,중국,안과,1.25
201801,중국,한약방,0.18
201802,중국,약국,51.39
201802,중국,대학/종합병원,17.92
201802,중국,피부과,9.89
201802,중국,성형외과,11.54
201802,중국,치과,4.92
201802,중국,한의학과,2.13
201802,중국,안과,2.05
201802,중국,한약방,0.15
201803,중국,약국,53.33
201803,중국,대학/종합병원,15.09
201803,중국,피부과,11.4
201803,중국,성형외과,12.06
201803,중국,치과,4.96
201803,중국,한의학과,2.08
201803,중국,안과,0.97
201803,중국,한약방,0.09
201804,중국,약국,54.19
201804,중국,대학/종합병원,13.7
201804,중국,피부과,10.22
201804,중국,성형외과,12.76
201804,중국,치과,5.74
201804,중국,한의학과,2.08
201804,중국,안과,1.17
201804,중국,한약방,0.14
201805,중국,약국,53.35
201805,중국,대학/종합병원,15.17
201805,중국,피부과,10.26
201805,중국,성형외과,11.86
201805,중국,치과,5.48
201805,중국,한의학과,1.68
201805,중국,안과,1.78
201805,중국,한약방,0.43
201806,중국,약국,56.87
201806,중국,대학/종합병원,13.41
201806,중국,피부과,10.24
201806,중국,성형외과,11.42
201806,중국,치과,5.08
201806,중국,한의학과,1.68
201806,중국,안과,1.09
201806,중국,한약방,0.22
201807,중국,약국,56.22
201807,중국,대학/종합병원,13.69
201807,중국,피부과,11.14
201807,중국,성형외과,11.12
201807,중국,치과,4.86
201807,중국,한의학과,1.83
201807,중국,안과,0.98
201807,중국,한약방,0.16
201808,중국,약국,58.01
201808,중국,대학/종합병원,13.09
201808,중국,피부과,10.58
201808,중국,성형외과,10.58
201808,중국,치과,4.96
201808,중국,한의학과,1.78
201808,중국,안과,0.96
201808,중국,한약방,0.04
201809,중국,약국,59.64
201809,중국,대학/종합병원,11.02
201809,중국,피부과,10.49
201809,중국,성형외과,11.68
201809,중국,치과,4.74
201809,중국,한의학과,1.59
201809,중국,안과,0.71
201809,중국,한약방,0.13
201810,중국,약국,57.78
201810,중국,대학/종합병원,13.47
201810,중국,피부과,10.91
201810,중국,성형외과,10.18
201810,중국,치과,4.76
201810,중국,한의학과,1.44
201810,중국,안과,1.31
201810,중국,한약방,0.15
201811,중국,약국,54.92
201811,중국,대학/종합병원,15.29
201811,중국,피부과,12.55
201811,중국,성형외과,9.62
201811,중국,치과,4.66
201811,중국,한의학과,1.78
201811,중국,안과,1.0
201811,중국,한약방,0.19
201812,중국,약국,56.16
201812,중국,대학/종합병원,14.86
201812,중국,피부과,12.51
201812,중국,성형외과,9.08
201812,중국,치과,5.1
201812,중국,한의학과,1.45
201812,중국,안과,0.7
201812,중국,한약방,0.14
