기준년월,구분,방문지,방문자 수,방문자 수 비율
202201,전체 외국인,서울특별시,128741,
202202,전체 외국인,서울특별시,170375,
202203,전체 외국인,서울특별시,162059,
202204,전체 외국인,서울특별시,217226,
202205,전체 외국인,서울특별시,285796,
202206,전체 외국인,서울특별시,356390,
202207,전체 외국인,서울특별시,451111,
202208,전체 외국인,서울특별시,549393,
202209,전체 외국인,서울특별시,594527,
202210,전체 외국인,서울특별시,873808,
202211,전체 외국인,서울특별시,791751,
202212,전체 외국인,서울특별시,1007726,
202201,대만인,서울특별시,,0.085
202202,대만인,서울특별시,,0.166
202203,대만인,서울특별시,,0.118
202204,대만인,서울특별시,,0.117
202205,대만인,서울특별시,,0.190
202206,대만인,서울특별시,,0.291
202207,대만인,서울특별시,,0.519
202208,대만인,서울특별시,,1.182
202209,대만인,서울특별시,,1.181
202210,대만인,서울특별시,,2.634
202211,대만인,서울특별시,,4.802
202212,대만인,서울특별시,,7.909
