기준년월,구분,방문지,방문자 수,방문자 수 비율
2020,전체 외국인,서울특별시,3766230,
2021,전체 외국인,서울특별시,1670308,
2022,전체 외국인,서울특별시,5588904,
2023,전체 외국인,서울특별시,33800001,
2024,전체 외국인,서울특별시,41541695,
2025,전체 외국인,서울특별시,47409856,
2020,일본인,서울특별시,,17.183
2021,일본인,서울특별시,,1.276
2022,일본인,서울특별시,,10.571
2023,일본인,서울특별시,,16.019
2024,일본인,서울특별시,,16.915
2025,일본인,서울특별시,,18.011
