국가명,KTO카테고리소분류,소비금액비율(카테고리별)
중국,대학/종합병원,7.92
중국,성형외과,27.65
중국,안과,1.27
중국,약국,5.8
중국,치과,4.3
중국,피부과,51.12
중국,한약방,0.03
중국,한의학과,1.91
