,국가명,KTO카테고리소분류,소비건수비율
202101,중국,전체,10.34
202102,중국,전체,8.82
202103,중국,전체,9.07
202104,중국,전체,7.89
202105,중국,전체,8.24
202106,중국,전체,7.6
202107,중국,전체,6.71
202108,중국,전체,6.94
202109,중국,전체,7.14
202110,중국,전체,6.88
202111,중국,전체,6.65
202112,중국,전체,7.19
