기준년월,구분,방문지,방문자 수,방문자 수 비율
202201,전체 외국인,서울특별시,128741,
202202,전체 외국인,서울특별시,170375,
202203,전체 외국인,서울특별시,162059,
202204,전체 외국인,서울특별시,217226,
202205,전체 외국인,서울특별시,285796,
202206,전체 외국인,서울특별시,356390,
202207,전체 외국인,서울특별시,451111,
202208,전체 외국인,서울특별시,549393,
202209,전체 외국인,서울특별시,594527,
202210,전체 외국인,서울특별시,873808,
202211,전체 외국인,서울특별시,791751,
202212,전체 외국인,서울특별시,1007726,
202201,태국인,서울특별시,,0.440
202202,태국인,서울특별시,,0.454
202203,태국인,서울특별시,,0.520
202204,태국인,서울특별시,,1.151
202205,태국인,서울특별시,,2.396
202206,태국인,서울특별시,,3.730
202207,태국인,서울특별시,,3.254
202208,태국인,서울특별시,,1.583
202209,태국인,서울특별시,,2.145
202210,태국인,서울특별시,,5.664
202211,태국인,서울특별시,,4.275
202212,태국인,서울특별시,,4.855
