국가명,KTO카테고리소분류,소비금액비율(카테고리별)
태국,대학/종합병원,1.85
태국,성형외과,83.33
태국,안과,0.2
태국,약국,2.34
태국,치과,2.13
태국,피부과,9.81
태국,한약방,0.01
태국,한의학과,0.34
