기준연월,시도명,소비건수_(전체)
2018,대구광역시,13626.0
2019,대구광역시,14154.0
2020,대구광역시,11836.0
2021,대구광역시,16318.0
2022,대구광역시,22230.0
2023,대구광역시,27012.0
2024,대구광역시,39042.0
2025,대구광역시,57324.0
2026,대구광역시,27722.0
