기준연월,시도명,소비금액_(전체)
202501,경상남도,164738.0
202502,경상남도,162831.0
202503,경상남도,222115.0
202504,경상남도,214834.0
202505,경상남도,203443.0
202506,경상남도,283868.0
202507,경상남도,290425.0
202508,경상남도,251665.0
202509,경상남도,299527.0
202510,경상남도,269492.0
202511,경상남도,278652.0
202512,경상남도,359076.0
