,국가명,KTO카테고리소분류,소비금액비율
201901,태국,전체,1.86
201902,태국,전체,2.18
201903,태국,전체,1.51
201904,태국,전체,2.56
201905,태국,전체,2.23
201906,태국,전체,2.82
201907,태국,전체,2.25
201908,태국,전체,2.54
201909,태국,전체,2.0
201910,태국,전체,2.15
201911,태국,전체,2.17
201912,태국,전체,2.13
