방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
일본,서울특별시,쇼핑업,기타관광쇼핑,44.3,37.1
일본,서울특별시,쇼핑업,레저용품쇼핑,44.3,3.3
일본,서울특별시,쇼핑업,대형쇼핑몰,44.3,57.5
일본,서울특별시,쇼핑업,면세점,44.3,2.2
일본,서울특별시,숙박업,기타숙박,14.9,12.8
일본,서울특별시,숙박업,호텔,14.9,86.9
일본,서울특별시,숙박업,콘도,14.9,0.2
일본,서울특별시,숙박업,캠핑장/펜션,14.9,0.1
일본,서울특별시,식음료업,제과음료업,17.8,26.9
일본,서울특별시,식음료업,일반외식업,17.8,73.1
일본,서울특별시,여가서비스업,문화서비스,1.4,31.1
일본,서울특별시,여가서비스업,기타레저,1.4,63.3
일본,서울특별시,여가서비스업,관광유원시설,1.4,0.3
일본,서울특별시,여가서비스업,골프장,1.4,5.4
일본,서울특별시,여행업,여행업,0.0,100.0
일본,서울특별시,운송업,육상운송,4.0,90.6
일본,서울특별시,운송업,항공운송,4.0,8.4
일본,서울특별시,운송업,렌터카,4.0,0.6
일본,서울특별시,운송업,수상운송,4.0,0.4
일본,서울특별시,의료웰니스업,뷰티,17.6,30.4
일본,서울특별시,의료웰니스업,의료관광,17.6,69.6
