기준년월,구분,방문지,방문자 수,방문자 수 비율
202001,전체 외국인,서울특별시,2029695,
202002,전체 외국인,서울특별시,1087730,
202003,전체 외국인,서울특별시,34160,
202004,전체 외국인,서울특별시,47062,
202005,전체 외국인,서울특별시,53983,
202006,전체 외국인,서울특별시,69499,
202007,전체 외국인,서울특별시,63401,
202008,전체 외국인,서울특별시,80364,
202009,전체 외국인,서울특별시,78187,
202010,전체 외국인,서울특별시,75875,
202011,전체 외국인,서울특별시,73468,
202012,전체 외국인,서울특별시,72805,
202001,일본인,서울특별시,,14.676
202002,일본인,서울특별시,,30.869
202003,일본인,서울특별시,,11.221
202004,일본인,서울특별시,,1.789
202005,일본인,서울특별시,,2.088
202006,일본인,서울특별시,,2.262
202007,일본인,서울특별시,,1.344
202008,일본인,서울특별시,,1.623
202009,일본인,서울특별시,,0.963
202010,일본인,서울특별시,,1.332
202011,일본인,서울특별시,,1.765
202012,일본인,서울특별시,,1.258
