국가명,KTO카테고리소분류,소비건수비율(카테고리별)
글로벌,대학/종합병원,8.37
글로벌,성형외과,7.6
글로벌,안과,1.5
글로벌,약국,50.8
글로벌,치과,4.51
글로벌,피부과,24.48
글로벌,한약방,0.1
글로벌,한의학과,2.65
