기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
202401,글로벌,약국,48.79
202401,글로벌,피부과,20.14
202401,글로벌,대학/종합병원,12.71
202401,글로벌,성형외과,8.54
202401,글로벌,치과,5.32
202401,글로벌,한의학과,2.98
202401,글로벌,안과,1.44
202401,글로벌,한약방,0.07
202402,글로벌,약국,47.1
202402,글로벌,피부과,22.78
202402,글로벌,대학/종합병원,11.7
202402,글로벌,성형외과,9.06
202402,글로벌,치과,4.86
202402,글로벌,한의학과,2.95
202402,글로벌,안과,1.46
202402,글로벌,한약방,0.08
202403,글로벌,약국,48.4
202403,글로벌,피부과,24.95
202403,글로벌,대학/종합병원,9.13
202403,글로벌,성형외과,9.03
202403,글로벌,치과,4.34
202403,글로벌,한의학과,2.62
202403,글로벌,안과,1.4
202403,글로벌,한약방,0.11
202404,글로벌,약국,49.88
202404,글로벌,피부과,24.07
202404,글로벌,대학/종합병원,8.61
202404,글로벌,성형외과,8.64
202404,글로벌,치과,4.43
202404,글로벌,한의학과,2.79
202404,글로벌,안과,1.48
202404,글로벌,한약방,0.09
202405,글로벌,약국,49.55
202405,글로벌,피부과,24.83
202405,글로벌,대학/종합병원,8.4
202405,글로벌,성형외과,8.08
202405,글로벌,치과,4.59
202405,글로벌,한의학과,2.86
202405,글로벌,안과,1.57
202405,글로벌,한약방,0.12
202406,글로벌,약국,49.09
202406,글로벌,피부과,25.6
202406,글로벌,대학/종합병원,8.26
202406,글로벌,성형외과,7.64
202406,글로벌,치과,4.88
202406,글로벌,한의학과,2.72
202406,글로벌,안과,1.72
202406,글로벌,한약방,0.1
202407,글로벌,약국,50.36
202407,글로벌,피부과,23.32
202407,글로벌,대학/종합병원,9.18
202407,글로벌,성형외과,6.93
202407,글로벌,치과,5.33
202407,글로벌,한의학과,2.97
202407,글로벌,안과,1.79
202407,글로벌,한약방,0.11
202408,글로벌,약국,52.01
202408,글로벌,피부과,24.32
202408,글로벌,대학/종합병원,8.04
202408,글로벌,성형외과,7.08
202408,글로벌,치과,4.45
202408,글로벌,한의학과,2.54
202408,글로벌,안과,1.46
202408,글로벌,한약방,0.1
202409,글로벌,약국,51.59
202409,글로벌,피부과,26.64
202409,글로벌,대학/종합병원,6.86
202409,글로벌,성형외과,7.37
202409,글로벌,치과,3.84
202409,글로벌,한의학과,2.29
202409,글로벌,안과,1.3
202409,글로벌,한약방,0.12
202410,글로벌,약국,52.96
202410,글로벌,피부과,24.76
202410,글로벌,대학/종합병원,7.12
202410,글로벌,성형외과,7.07
202410,글로벌,치과,4.11
202410,글로벌,한의학과,2.5
202410,글로벌,안과,1.37
202410,글로벌,한약방,0.1
202411,글로벌,약국,52.12
202411,글로벌,피부과,25.76
202411,글로벌,대학/종합병원,7.12
202411,글로벌,성형외과,7.04
202411,글로벌,치과,4.0
202411,글로벌,한의학과,2.48
202411,글로벌,안과,1.38
202411,글로벌,한약방,0.1
202412,글로벌,약국,53.56
202412,글로벌,피부과,23.84
202412,글로벌,대학/종합병원,7.39
202412,글로벌,성형외과,6.47
202412,글로벌,치과,4.59
202412,글로벌,한의학과,2.47
202412,글로벌,안과,1.59
202412,글로벌,한약방,0.09
