방문자 거주지,방문지,업종대분류명,업종중분류명,대분류 소비액 비율(%),중분류 소비액 비율(%)
태국,서울특별시,쇼핑업,기타관광쇼핑,57.0,52.1
태국,서울특별시,쇼핑업,레저용품쇼핑,57.0,3.6
태국,서울특별시,쇼핑업,면세점,57.0,4.8
태국,서울특별시,쇼핑업,대형쇼핑몰,57.0,39.5
태국,서울특별시,숙박업,기타숙박,9.3,15.6
태국,서울특별시,숙박업,캠핑장/펜션,9.3,0.8
태국,서울특별시,숙박업,호텔,9.3,83.4
태국,서울특별시,숙박업,콘도,9.3,0.2
태국,서울특별시,식음료업,제과음료업,8.9,19.6
태국,서울특별시,식음료업,일반외식업,8.9,80.4
태국,서울특별시,여가서비스업,문화서비스,0.3,56.9
태국,서울특별시,여가서비스업,기타레저,0.3,35.5
태국,서울특별시,여가서비스업,골프장,0.3,7.5
태국,서울특별시,여가서비스업,관광유원시설,0.3,0.0
태국,서울특별시,여행업,여행업,0.1,100.0
태국,서울특별시,운송업,육상운송,1.7,84.0
태국,서울특별시,운송업,항공운송,1.7,16.0
태국,서울특별시,운송업,수상운송,1.7,0.0
태국,서울특별시,의료웰니스업,뷰티,22.8,67.4
태국,서울특별시,의료웰니스업,의료관광,22.8,32.6
