국가명,기준연월,소비금액
홍콩,202601,6110836.0
홍콩,202602,5758826.0
홍콩,202603,1.0373215E7
홍콩,202604,1.153532E7
홍콩,202605,1.1513695E7
홍콩,202606,1.143915E7
