,국가명,KTO카테고리소분류,소비건수비율
201801,대만,전체,0.62
201802,대만,전체,0.75
201803,대만,전체,0.7
201804,대만,전체,0.67
201805,대만,전체,0.5
201806,대만,전체,0.73
201807,대만,전체,0.63
201808,대만,전체,0.71
201809,대만,전체,0.85
201810,대만,전체,0.75
201811,대만,전체,0.63
201812,대만,전체,0.79
